AADE editors' journal	Aade Ed. J.	AADE Ed J
AANA journal	Aana J.	AANA J
AARN news letter	Aarn News Lett.	AARN News Lett
[Nihon shika hyoron] The Nippon dental review	Nihon Shika Hyoron	Nihon Shika Hyoron
Academia Peruana de Cirugia	Acad. Peru. Cir.	Acad Peru Cir
Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	Acad. Rev. Calif. Acad. Periodontol.	Acad Rev Calif Acad Periodontol
Acarologia	Acarologia	Acarologia
Acquisitions medicales recentes	Acquis. Med. Recent.	Acquis Med Recent
Activitas nervosa superior	Act. Nerv. Super. Praha.	Act Nerv Super (Praha)
Acta allergologica	Acta Allergol.	Acta Allergol
Acta anaesthesiologica	Acta Anaesthesiol.	Acta Anaesthesiol
Acta anaesthesiologica Belgica	Acta Anaesthesiol. Belg.	Acta Anaesthesiol Belg
Acta anaesthesiologica Scandinavica	Acta Anaesthesiol. Scand.	Acta Anaesthesiol Scand
Acta anaesthesiologica Scandinavica. Supplementum	Acta Anaesthesiol. Scand. Suppl.	Acta Anaesthesiol Scand Suppl
Acta anatomica	Acta Anat. Basel.	Acta Anat (Basel)
Kaibogaku zasshi. Journal of anatomy	Kaibogaku Zasshi	Kaibogaku Zasshi
Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	Acta Biochim. Biophys. Acad. Sci. Hung.	Acta Biochim Biophys Acad Sci Hung
Acta biochimica Polonica	Acta Biochim. Pol.	Acta Biochim Pol
Across the board	Across Board Ny.	Across Board (NY)
Acta biologica Academiae Scientiarum Hungaricae	Acta Biol. Acad. Sci. Hung.	Acta Biol Acad Sci Hung
Academy of management review. Academy of Management	Acad. Manage. Rev.	Acad Manage Rev
Acta biochimica et biophysica Hungarica	Acta Biochim. Biophys. Hung.	Acta Biochim Biophys Hung
Acta biologiae experimentalis	Acta Biol. Exp. Warsz.	Acta Biol Exp (Warsz)
Academy of Management journal. Academy of Management	Acad. Manage. J.	Acad Manage J
Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	Acta Belg. Med. Phys.	Acta Belg Med Phys
Shi yan sheng wu xue bao	Shi Yan Sheng Wu Xue Bao	Shi Yan Sheng Wu Xue Bao
Acta biologica Hungarica	Acta Biol. Hung.	Acta Biol Hung
Acta biologica et medica	Acta Biol. Med. Gdansk.	Acta Biol Med (Gdansk)
Acta biologica et medica Germanica	Acta Biol. Med. Ger.	Acta Biol Med Ger
Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	Acta Biomed. Ateneo. Parmense	Acta Biomed Ateneo Parmense
Acta biotheoretica	Acta Biotheor.	Acta Biotheor
Acta cancerologica	Acta Cancerol. Lima.	Acta Cancerol (Lima)
Acta cardiologica	Acta Cardiol.	Acta Cardiol
Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	Acta Chem. Scand. A	Acta Chem Scand A
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	Acta Chem. Scand. B	Acta Chem Scand B
Acta chirurgica Academiae Scientiarum Hungaricae	Acta Chir. Acad. Sci. Hung.	Acta Chir Acad Sci Hung
Acta chirurgica Hungarica	Acta Chir. Hung.	Acta Chir Hung
Acta cardiologica. Supplementum	Acta Cardiol. Suppl.	Acta Cardiol Suppl
Acta chirurgica Belgica	Acta Chir. Belg.	Acta Chir Belg
Acta chirurgica Italica	Acta Chir. Ital.	Acta Chir Ital
Acta chirurgica Iugoslavica	Acta Chir. Iugosl.	Acta Chir Iugosl
Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir. Orthop. Traumatol. Cech.	Acta Chir Orthop Traumatol Cech
Acta chirurgiae plasticae	Acta Chir. Plast.	Acta Chir Plast
Acta chirurgica Scandinavica	Acta Chir. Scand.	Acta Chir Scand
Acta chirurgica Scandinavica. Supplementum	Acta Chir. Scand. Suppl.	Acta Chir Scand Suppl
Acta cientifica venezolana	Acta Cient. Venez.	Acta Cient Venez
Acta clinica Belgica	Acta Clin. Belg.	Acta Clin Belg
Acta clinica Belgica. Supplementum	Acta Clin. Belg. Suppl.	Acta Clin Belg Suppl
Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	Acta Clin. Odontol.	Acta Clin Odontol
Acta crystallographica	Acta Crystallogr.	Acta Crystallogr
Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	Acta Crystallogr. A Cryst. Phys. Diffr. Theor. Gen. Crystallogr.	Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr
Acta cytologica	Acta Cytol.	Acta Cytol
Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")	Acta Embryol. Morphol. Exp. Halocynthia Assoc.	Acta Embryol Morphol Exp (Halocynthia Assoc)
Acta dermatologica-Kyoto. English edition	Acta Dermatol. Kyoto Engl. Ed.	Acta Dermatol Kyoto Engl Ed
Acta dermato-venereologica	Acta Derm. Venereol.	Acta Derm Venereol
Acta dermato-venereologica. Supplementum	Acta Derm. Venereol. Suppl. Stockh.	Acta Derm Venereol Suppl (Stockh)
Hifuka kiyo. Acta dermatologica	Hifuka Kiyo	Hifuka Kiyo
Acta diabetologica latina	Acta Diabetol. Lat.	Acta Diabetol Lat
Acta embryologiae experimentalis	Acta Embryol. Exp. Palermo.	Acta Embryol Exp (Palermo)
Acta embryologiae et morphologiae experimentalis	Acta Embryol. Morphol. Exp.	Acta Embryol Morphol Exp
Acta endocrinologica	Acta Endocrinol. Copenh.	Acta Endocrinol (Copenh)
Acta endocrinologica. Supplementum	Acta Endocrinol. Suppl. Copenh.	Acta Endocrinol Suppl (Copenh)
Acta Europaea fertilitatis	Acta Eur. Fertil.	Acta Eur Fertil
Acta gastro-enterologica Belgica	Acta Gastroenterol. Belg.	Acta Gastroenterol Belg
Acta gastroenterologica Latinoamericana	Acta Gastroenterol. Latinoam.	Acta Gastroenterol Latinoam
Acta genetica et statistica medica	Acta Genet. Stat. Med.	Acta Genet Stat Med
Acta geneticae medicae et gemellologiae	Acta Genet. Med. Gemellol. Roma.	Acta Genet Med Gemellol (Roma)
Acta gerontologica	Acta Gerontol. Milano.	Acta Gerontol (Milano)
Acta ginecologica	Acta Ginecol. Madr.	Acta Ginecol (Madr)
Acta gynaecologica et obstetrica Hispano-Lusitana	Acta Gynaecol. Obstet. Hisp. Lusit.	Acta Gynaecol Obstet Hisp Lusit
Acta haematologica	Acta Haematol.	Acta Haematol
Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	Nihon Ketsueki Gakkai Zasshi	Nihon Ketsueki Gakkai Zasshi
Acta haematologica Polonica	Acta Haematol. Pol.	Acta Haematol Pol
Acta hepato-gastroenterologica	Acta Hepatogastroenterol. Stuttg.	Acta Hepatogastroenterol (Stuttg)
Acta historica scientiarum naturalium et medicinalium	Acta Hist. Sci. Nat. Med.	Acta Hist Sci Nat Med
Acta histochemica	Acta Histochem.	Acta Histochem
Acta iberica radiologica-cancerologica	Acta Iber. Radiol. Cancerol.	Acta Iber Radiol Cancerol
Acta isotopica	Acta Isot. Padova.	Acta Isot (Padova)
Acta Leidensia	Acta Leiden.	Acta Leiden
Igaku kenkyu. Acta medica	Igaku Kenkyu	Igaku Kenkyu
Acta medica Academiae Scientiarum Hungaricae	Acta Med. Acad. Sci. Hung.	Acta Med Acad Sci Hung
Acta medica Austriaca	Acta Med. Austriaca	Acta Med Austriaca
Acta medica Austriaca. Supplement	Acta Med. Austriaca Suppl.	Acta Med Austriaca Suppl
Acute care	Acute Care	Acute Care
Acta medica et biologica	Acta Med. Biol. Niigata.	Acta Med Biol (Niigata)
Perspectives (Gerontological Nursing Association (Canada))	Perspectives	Perspectives
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	Acta Med. Ital. Med. Trop. Subtrop. Gastroenterol.	Acta Med Ital Med Trop Subtrop Gastroenterol
Acta medica Iugoslavica	Acta Med. Iugosl.	Acta Med Iugosl
Acta medicinae legalis et socialis	Acta Med. Leg. Soc. Liege.	Acta Med Leg Soc (Liege)
Acta medica Nagasakiensia	Acta Med. Nagasaki.	Acta Med Nagasaki
Family practice research journal	Fam. Pract. Res. J.	Fam Pract Res J
Fetal therapy	Fetal Ther.	Fetal Ther
Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	Gynecol. Endocrinol.	Gynecol Endocrinol
International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	Int. J. Dev. Neurosci.	Int J Dev Neurosci
The Journal of the American Board of Family Practice	J. Am. Board Fam. Pract.	J Am Board Fam Pract
Journal of biological regulators and homeostatic agents	J. Biol. Regul. Homeost. Agents	J Biol Regul Homeost Agents
Journal of bioluminescence and chemiluminescence	J. Biolumin. Chemilumin.	J Biolumin Chemilumin
Acta medica Okayama	Acta Med. Okayama	Acta Med Okayama
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	J. Bone Miner. Res.	J Bone Miner Res
Acta medica Philippina	Acta Med. Philipp.	Acta Med Philipp
Acta medica Polona	Acta Med. Pol.	Acta Med Pol
Acta medica portuguesa	Acta Med. Port.	Acta Med Port
Acta medica Scandinavica	Acta Med. Scand.	Acta Med Scand
Acta medica Scandinavica. Supplementum	Acta Med. Scand. Suppl.	Acta Med Scand Suppl
Acta medica veterinaria	Acta Med. Vet. Napoli.	Acta Med Vet (Napoli)
Acta microbiologica Academiae Scientiarum Hungaricae	Acta Microbiol. Acad. Sci. Hung.	Acta Microbiol Acad Sci Hung
Acta microbiologica Bulgarica	Acta Microbiol. Bulg.	Acta Microbiol Bulg
Acta microbiologica Polonica	Acta Microbiol. Pol.	Acta Microbiol Pol
Acta microbiologica Polonica. Series A: Microbiologia generalis	Acta Microbiol. Pol. A	Acta Microbiol Pol A
Acta microbiologica Polonica. Series B: Microbiologia applicata	Acta Microbiol. Pol. B	Acta Microbiol Pol B
Acta morphologica Academiae Scientiarum Hungaricae	Acta Morphol. Acad. Sci. Hung.	Acta Morphol Acad Sci Hung
Acta microbiologica, virologica et immunologica	Acta Microbiol. Virol. Immunol. Sofiia.	Acta Microbiol Virol Immunol (Sofiia)
Acta morphologica Hungarica	Acta Morphol. Hung.	Acta Morphol Hung
Acta morphologica Neerlando-Scandinavica	Acta Morphol. Neerl. Scand.	Acta Morphol Neerl Scand
Acta neurobiologiae experimentalis	Acta Neurobiol. Exp. Wars.	Acta Neurobiol Exp (Wars)
Acta neurochirurgica	Acta Neurochir. Wien.	Acta Neurochir (Wien)
Acta neurochirurgica. Supplementum	Acta Neurochir. Suppl. Wien.	Acta Neurochir Suppl (Wien)
Acta neurologica	Acta Neurol. Napoli.	Acta Neurol (Napoli)
Acta rhumatologica	Acta Rhumatol.	Acta Rhumatol
Acta leprologica	Acta Leprol.	Acta Leprol
Acta microbiologica Hungarica	Acta Microbiol. Hung.	Acta Microbiol Hung
Acta neurologica Belgica	Acta Neurol. Belg.	Acta Neurol Belg
Acta neurologica latinoamericana	Acta Neurol. Latinoam.	Acta Neurol Latinoam
Acta neurologica. Quaderni	Acta Neurol. Quad. Napoli.	Acta Neurol Quad (Napoli)
Acta neurologica Scandinavica	Acta Neurol. Scand.	Acta Neurol Scand
Acta neurologica Scandinavica. Supplementum	Acta Neurol. Scand. Suppl.	Acta Neurol Scand Suppl
Acta neuropathologica	Acta Neuropathol.	Acta Neuropathol
Acta neuropathologica. Supplementum	Acta Neuropathol. Suppl.	Acta Neuropathol Suppl
Acta neurovegetativa	Acta Neuroveg. Wien.	Acta Neuroveg (Wien)
Acta obstetrica y ginecologica hispano-lusitana	Acta Obstet. Ginecol. Hisp. Lusit.	Acta Obstet Ginecol Hisp Lusit
Acta obstetrica y ginecologica hispano-lusitana. Suplemento	Acta Obstet. Ginecol. Hisp. Lusit. Suppl.	Acta Obstet Ginecol Hisp Lusit Suppl
Acta obstetrica et gynaecologica Japonica	Acta Obstet. Gynaecol. Jpn.	Acta Obstet Gynaecol Jpn
Acta obstetricia et gynecologica Scandinavica	Acta Obstet. Gynecol. Scand.	Acta Obstet Gynecol Scand
Acta obstetricia et gynecologica Scandinavica. Supplement	Acta Obstet. Gynecol. Scand. Suppl.	Acta Obstet Gynecol Scand Suppl
Acta odontologica Scandinavica	Acta Odontol. Scand.	Acta Odontol Scand
Acta odontologica Scandinavica. Supplementum	Acta Odontol. Scand. Suppl.	Acta Odontol Scand Suppl
Acta odontologica venezolana	Acta Odontol. Venez.	Acta Odontol Venez
Acta oncologica	Acta Oncol. Madr.	Acta Oncol (Madr)
Acta ophthalmologica	Acta Ophthalmol. Copenh.	Acta Ophthalmol (Copenh)
Acta ophthalmologica. Supplementum	Acta Ophthalmol. Suppl.	Acta Ophthalmol Suppl
Acta orthopaedica Belgica	Acta Orthop. Belg.	Acta Orthop Belg
Acta orthopaedica Scandinavica	Acta Orthop. Scand.	Acta Orthop Scand
Acta orthopaedica Scandinavica. Supplementum	Acta Orthop. Scand. Suppl.	Acta Orthop Scand Suppl
Acta oto-laryngologica	Acta Otolaryngol.	Acta Otolaryngol
Acta oto-laryngologica. Supplementum	Acta Otolaryngol. Suppl.	Acta Otolaryngol Suppl
Acta oto-rhino-laryngologica Belgica	Acta Otorhinolaryngol. Belg.	Acta Otorhinolaryngol Belg
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	Acta Otorhinolaryngol. Ital.	Acta Otorhinolaryngol Ital
Acta oto-rino-laringologica ibero-americana	Acta Otorinolaryngol. Iber. Am.	Acta Otorinolaryngol Iber Am
Acta paediatrica Academiae Scientiarum Hungaricae	Acta Paediatr. Acad. Sci. Hung.	Acta Paediatr Acad Sci Hung
Acta paediatrica Belgica	Acta Paediatr. Belg.	Acta Paediatr Belg
Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	Nihon Shonika Gakkai Zasshi	Nihon Shonika Gakkai Zasshi
Acta paediatrica Japonica : Overseas edition	Acta Paediatr. Jpn.	Acta Paediatr Jpn
Acta paediatrica Scandinavica	Acta Paediatr. Scand.	Acta Paediatr Scand
Acta paediatrica Scandinavica. Supplement	Acta Paediatr. Scand. Suppl.	Acta Paediatr Scand Suppl
Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	Zhonghua Min. Guo. Xiao Er Ke Yi Xue Hui Za Zhi	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi
Acta paedopsychiatrica	Acta Paedopsychiatr.	Acta Paedopsychiatr
Series paedopsychiatrica	Ser. Paedopsychiatr.	Ser Paedopsychiatr
Acta pathologica japonica	Acta Pathol. Jpn.	Acta Pathol Jpn
Acta pathologica et microbiologica Scandinavica	Acta Pathol. Microbiol. Scand.	Acta Pathol Microbiol Scand
Acta pathologica et microbiologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Scand. A	Acta Pathol Microbiol Scand A
Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Scand. B	Acta Pathol Microbiol Scand B
Acta pathologica et microbiologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Scand. C	Acta Pathol Microbiol Scand C
Acta pathologica et microbiologica Scandinavica. Supplement	Acta Pathol. Microbiol. Scand. Suppl.	Acta Pathol Microbiol Scand Suppl
Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement	Acta Pathol. Microbiol. Immunol. Scand. Suppl.	Acta Pathol Microbiol Immunol Scand Suppl
Acta pediatrica espanola	Acta Pediatr. Esp.	Acta Pediatr Esp
Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Immunol. Scand. A	Acta Pathol Microbiol Immunol Scand A
Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Immunol. Scand. B	Acta Pathol Microbiol Immunol Scand B
Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Immunol. Scand. C	Acta Pathol Microbiol Immunol Scand C
Acta pharmaceutica Hungarica	Acta Pharm. Hung.	Acta Pharm Hung
Zhongguo yao li xue bao = Acta pharmacologica Sinica	Zhongguo Yao Li Xue Bao	Zhongguo Yao Li Xue Bao
Yao xue xue bao = Acta pharmaceutica Sinica	Yao Xue Xue Bao	Yao Xue Xue Bao
Acta pharmaceutica Suecica	Acta Pharm. Suec.	Acta Pharm Suec
Acta pharmacologica et toxicologica	Acta Pharmacol. Toxicol. Copenh.	Acta Pharmacol Toxicol (Copenh)
Acta physiologica Academiae Scientiarum Hungaricae	Acta Physiol. Acad. Sci. Hung.	Acta Physiol Acad Sci Hung
Acta physiologica Hungarica	Acta Physiol. Hung.	Acta Physiol Hung
Acta physiologica latino americana	Acta Physiol. Lat. Am.	Acta Physiol Lat Am
Acta physiologica et pharmacologica Bulgarica	Acta Physiol. Pharmacol. Bulg.	Acta Physiol Pharmacol Bulg
Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	Acta Physiol. Pharmacol. Latinoam.	Acta Physiol Pharmacol Latinoam
Acta physiologica et pharmacologica Neerlandica	Acta Physiol. Pharmacol. Neerl.	Acta Physiol Pharmacol Neerl
Acta physiologica Polonica	Acta Physiol. Pol.	Acta Physiol Pol
Acta physiologica Scandinavica	Acta Physiol. Scand.	Acta Physiol Scand
Acta physiologica Scandinavica. Supplementum	Acta Physiol. Scand. Suppl.	Acta Physiol Scand Suppl
Acta poloniae pharmaceutica	Acta Pol. Pharm.	Acta Pol Pharm
Acta psiquiatrica y psicologica de America latina	Acta Psiquiatr. Psicol. Am. Lat.	Acta Psiquiatr Psicol Am Lat
Acta psychiatrica Belgica	Acta Psychiatr. Belg.	Acta Psychiatr Belg
Acta psychiatrica Scandinavica	Acta Psychiatr. Scand.	Acta Psychiatr Scand
Acta psychiatrica Scandinavica. Supplementum	Acta Psychiatr. Scand. Suppl.	Acta Psychiatr Scand Suppl
Acta psychologica	Acta Psychol. Amst.	Acta Psychol (Amst)
