"JournalTitle","MedAbbr","ISSN (Print)","ISSN (Online)","NlmId"
"AADE editors' journal","AADE Ed J","0160-6999","","7708172"
"AANA journal","AANA J","0094-6354","2162-5239","0431420"
"AARN news letter","AARN News Lett","0001-0197","","1251052"
"[Nihon shika hyoron] The Nippon dental review","Nihon Shika Hyoron","0289-0909","","19130390R"
"Academia Peruana de Cirugia","Acad Peru Cir","0001-3854","","14490460R"
"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale","Acad Rev Calif Acad Periodontol","0008-0810","","7503275"
"Acarologia","Acarologia","0044-586X","","14510400R"
"Acquisitions medicales recentes","Acquis Med Recent","0075-4463","","0373054"
"Activitas nervosa superior","Act Nerv Super (Praha)","0001-7604","","0400662"
"Acta allergologica","Acta Allergol","0001-5148","","0370567"
"Acta anaesthesiologica","Acta Anaesthesiol","0001-5156","","0340732"
"Acta anaesthesiologica Belgica","Acta Anaesthesiol Belg","0001-5164","2736-5239","0421022"
"Acta anaesthesiologica Scandinavica","Acta Anaesthesiol Scand","0001-5172","1399-6576","0370270"
"Acta anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol Scand Suppl","0515-2720","","0370271"
"Acta anatomica","Acta Anat (Basel)","0001-5180","","0370272"
"Kaibogaku zasshi. Journal of anatomy","Kaibogaku Zasshi","0022-7722","","0413526"
"Acta biochimica et biophysica; Academiae Scientiarum Hungaricae","Acta Biochim Biophys Acad Sci Hung","","","0067725"
"Acta biochimica Polonica","Acta Biochim Pol","0001-527X","1734-154X","14520300R"
"Across the board","Across Board (NY)","0147-1554","","9877747"
"Acta biologica Academiae Scientiarum Hungaricae","Acta Biol Acad Sci Hung","0001-5288","","0370274"
"Academy of management review. Academy of Management","Acad Manage Rev","0363-7425","1930-3807","9877758"
"Acta biochimica et biophysica Hungarica","Acta Biochim Biophys Hung","0237-6261","","8701158"
"Acta biologiae experimentalis","Acta Biol Exp (Warsz)","0365-0820","","1246764"
"Academy of Management journal. Academy of Management","Acad Manage J","0001-4273","1948-0989","7703609"
"Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation","Acta Belg Med Phys","0771-5684","","8307581"
"Shi yan sheng wu xue bao","Shi Yan Sheng Wu Xue Bao","0001-5334","","0413570"
"Acta biologica Hungarica","Acta Biol Hung","0236-5383","","8404358"
"Acta biologica et medica","Acta Biol Med (Gdansk)","0065-1087","","0370275"
"Acta biologica et medica Germanica","Acta Biol Med Ger","0001-5318","","0370276"
"Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma","Acta Biomed Ateneo Parmense","","","8106323"
"Acta biotheoretica","Acta Biotheor","0001-5342","1572-8358","0421520"
"Acta cancerologica","Acta Cancerol (Lima)","1013-5545","1810-8296","0370300"
"Acta cardiologica","Acta Cardiol","0001-5385","1784-973X","0370570"
"Acta chemica Scandinavica. Series A: Physical and inorganic chemistry","Acta Chem Scand A","0302-4377","","0421761"
"Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry","Acta Chem Scand B","0302-4369","","0421265"
"Acta chirurgica Academiae Scientiarum Hungaricae","Acta Chir Acad Sci Hung","0001-5431","","2984283R"
"Acta chirurgica Hungarica","Acta Chir Hung","0231-4614","","8309977"
"Acta cardiologica. Supplementum","Acta Cardiol Suppl","0373-7934","","0376316"
"Acta chirurgica Belgica","Acta Chir Belg","0001-5458","","0370571"
"Acta chirurgica Italica","Acta Chir Ital","0001-5466","","0370303"
"Acta chirurgica Iugoslavica","Acta Chir Iugosl","0354-950X","","0372631"
"Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca","Acta Chir Orthop Traumatol Cech","0001-5415","","0407123"
"Acta chirurgiae plasticae","Acta Chir Plast","0001-5423","1805-4404","0370301"
"Acta chirurgica Scandinavica","Acta Chir Scand","0001-5482","","7906530"
"Acta chirurgica Scandinavica. Supplementum","Acta Chir Scand Suppl","0301-1860","","0370305"
"Acta cientifica venezolana","Acta Cient Venez","0001-5504","","0070154"
"Acta clinica Belgica","Acta Clin Belg","1784-3286","2295-3337","0370306"
"Acta clinica Belgica. Supplementum","Acta Clin Belg Suppl","0567-7386","","0043523"
"Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]","Acta Clin Odontol","0120-9906","","8503035"
"Acta crystallographica","Acta Crystallogr","0365-110X","","0211526"
"Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography","Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr","0567-7394","","0211627"
"Acta cytologica","Acta Cytol","0001-5547","1938-2650","0370307"
